log_time,frame,PersistentLevel,X,Y,Z,FPS,FPSMs,GameThread,RenderThread,GPUFrame,RHIThreadTime,ActorName,ElapsedTime
2026.07.31-05.08.44:017,262,PL_Level1,0.0,0.0,0.0,58.746668,17.022242,7.410037,5.015231,8.539646,3.344477,,0.017022
2026.07.31-05.08.44:033,264,PL_Level1,0.0,0.0,0.0,61.323668,16.306917,6.23519,4.444365,10.17506,2.520801,,0.033329
2026.07.31-05.08.44:050,266,PL_Level1,0.0,0.0,0.0,57.783894,17.30586,6.461606,5.300507,8.75058,2.270917,,0.050635
2026.07.31-05.08.44:068,268,PL_Level1,0.0,0.0,0.0,56.489271,17.702477,6.198475,5.060002,10.530955,2.498397,,0.068337
2026.07.31-05.08.44:084,270,PL_Level1,0.0,0.0,0.0,60.232642,16.602294,6.202144,5.604229,9.751292,2.604522,,0.08494
2026.07.31-05.08.44:102,272,PL_Level1,0.0,0.0,0.0,58.554674,17.078056,6.17959,5.171855,9.848676,2.765649,,0.102018
2026.07.31-05.08.44:119,274,PL_Level1,0.0,0.0,0.0,57.981726,17.246813,7.200435,5.021807,9.593948,2.186729,,0.119265
2026.07.31-05.08.44:135,276,PL_Level1,0.0,0.0,0.0,61.02429,16.386918,5.972683,5.325125,8.929795,1.961997,,0.135652
2026.07.31-05.08.44:152,278,PL_Level1,0.0,0.0,0.0,59.577525,16.784853,6.857256,5.715412,10.80176,2.509855,,0.152436
2026.07.31-05.08.44:169,280,PL_Level1,0.0,0.0,0.0,57.997079,17.242248,6.252845,5.719976,10.652325,2.836093,,0.169679
2026.07.31-05.08.44:185,282,PL_Level1,0.0,0.0,0.0,62.892035,15.900265,6.685137,4.761997,10.150886,2.88841,,0.185579
2026.07.31-05.08.44:202,284,PL_Level1,0.0,0.0,0.0,57.670158,17.339991,6.564132,4.95307,10.578863,2.761906,,0.202919
2026.07.31-05.08.44:219,286,PL_Level1,0.0,0.0,0.0,60.052063,16.652217,6.342324,5.265646,10.396834,2.818278,,0.219571
2026.07.31-05.08.44:253,288,PL_Level1,0.0,0.0,0.0,29.673567,33.700027,13.95311,11.177854,21.723924,5.001014,,0.253271
2026.07.31-05.08.44:269,290,PL_Level1,0.0,0.0,0.0,60.777579,16.453436,7.30359,5.723557,9.34632,2.577792,,0.269725
2026.07.31-05.08.44:286,292,PL_Level1,0.0,0.0,0.0,59.503427,16.805755,7.548475,4.969884,10.689039,2.748493,,0.28653
