log_time,frame,PersistentLevel,X,Y,Z,FPS,FPSMs,GameThread,RenderThread,GPUFrame,RHIThreadTime,ActorName,ElapsedTime
2026.07.31-05.08.44:016,262,PL_Level1,0.0,0.0,0.0,60.403571,16.555313,6.488275,5.034364,8.594979,3.245453,,0.016555
2026.07.31-05.08.44:033,264,PL_Level1,0.0,0.0,0.0,58.919142,16.972413,7.548774,5.675873,10.948545,2.764395,,0.033528
2026.07.31-05.08.44:050,266,PL_Level1,0.0,0.0,0.0,59.964017,16.676668,7.270334,5.051814,8.620283,2.982337,,0.050204
2026.07.31-05.08.44:067,268,PL_Level1,0.0,0.0,0.0,58.589458,17.067917,6.743204,5.602785,10.74143,2.274354,,0.067272
2026.07.31-05.08.44:083,270,PL_Level1,0.0,0.0,0.0,60.427099,16.548867,5.833244,5.721865,9.700855,2.602013,,0.083821
2026.07.31-05.08.44:100,272,PL_Level1,0.0,0.0,0.0,61.523811,16.25387,7.270275,5.266256,10.154749,2.814439,,0.100075
2026.07.31-05.08.44:116,274,PL_Level1,0.0,0.0,0.0,59.558852,16.790115,5.89345,5.276778,9.991883,2.621375,,0.116865
2026.07.31-05.08.44:134,276,PL_Level1,0.0,0.0,0.0,55.813017,17.916967,7.804863,4.493924,11.024768,2.337457,,0.134782
2026.07.31-05.08.44:151,278,PL_Level1,0.0,0.0,0.0,61.209999,16.3372,6.393125,4.816879,9.959512,2.694331,,0.151119
2026.07.31-05.08.44:167,280,PL_Level1,0.0,0.0,0.0,60.140097,16.627842,6.320756,4.602669,8.962873,3.056894,,0.167747
2026.07.31-05.08.44:184,282,PL_Level1,0.0,0.0,0.0,59.863611,16.704639,6.528675,5.032143,10.695266,3.066985,,0.184452
2026.07.31-05.08.44:201,284,PL_Level1,0.0,0.0,0.0,59.947235,16.681336,6.43384,5.75687,9.9512,1.888612,,0.201133
2026.07.31-05.08.44:217,286,PL_Level1,0.0,0.0,0.0,61.782459,16.185824,6.780435,4.565127,8.583547,2.339533,,0.217319
2026.07.31-05.08.44:233,288,PL_Level1,0.0,0.0,0.0,60.665376,16.483867,6.713423,4.385998,8.998647,1.712244,,0.233803
2026.07.31-05.08.44:249,290,PL_Level1,0.0,0.0,0.0,62.76726,15.931873,5.985453,5.298776,9.239812,2.601303,,0.249735
2026.07.31-05.08.44:265,292,PL_Level1,0.0,0.0,0.0,62.893768,15.899827,6.403657,5.549966,10.053047,1.975016,,0.265635
2026.07.31-05.08.44:281,294,PL_Level1,0.0,0.0,0.0,61.151725,16.352768,6.385674,5.363824,10.130752,3.156665,,0.281987
2026.07.31-05.08.44:298,296,PL_Level1,0.0,0.0,0.0,60.867984,16.428998,7.262679,4.334614,8.958851,2.658632,,0.298416
2026.07.31-05.08.44:314,298,PL_Level1,0.0,0.0,0.0,61.931425,16.146892,7.092325,4.925924,9.740983,2.261562,,0.314563
2026.07.31-05.08.44:330,300,PL_Level1,0.0,0.0,0.0,61.611264,16.230798,6.682781,4.715356,8.119433,2.810303,,0.330794
2026.07.31-05.08.44:347,302,PL_Level1,0.0,0.0,0.0,59.288932,16.866555,7.531537,5.285021,9.274854,2.036454,,0.347661
2026.07.31-05.08.44:363,304,PL_Level1,0.0,0.0,0.0,64.876008,15.414019,5.973128,4.884105,9.64824,1.682335,,0.363075
2026.07.31-05.08.44:378,306,PL_Level1,0.0,0.0,0.0,63.162253,15.832241,5.680561,5.235865,8.275199,1.721569,,0.378907
2026.07.31-05.08.44:395,308,PL_Level1,0.0,0.0,0.0,61.480112,16.265423,5.770406,4.456867,8.99493,2.574499,,0.395172
2026.07.31-05.08.44:412,310,PL_Level1,0.0,0.0,0.0,59.383995,16.839554,7.297329,5.834364,8.422412,3.18077,,0.412012
2026.07.31-05.08.44:428,312,PL_Level1,0.0,0.0,0.0,62.069741,16.11091,6.256657,4.373611,8.111358,1.969975,,0.428123
2026.07.31-05.08.44:444,314,PL_Level1,0.0,0.0,0.0,61.53878,16.249916,7.085408,4.264137,8.480877,2.860064,,0.444373
2026.07.31-05.08.44:460,316,PL_Level1,0.0,0.0,0.0,62.408729,16.023399,6.34324,5.333983,8.256529,1.662626,,0.460396
2026.07.31-05.08.44:477,318,PL_Level1,0.0,0.0,0.0,59.331065,16.854577,5.917935,4.994431,9.665416,2.280997,,0.477251
2026.07.31-05.08.44:493,320,PL_Level1,0.0,0.0,0.0,61.944172,16.143569,6.503676,4.827299,10.251177,2.669689,,0.493394
2026.07.31-05.08.44:509,322,PL_Level1,0.0,0.0,0.0,62.109572,16.100578,6.592456,4.538327,8.254706,2.940369,,0.509495
2026.07.31-05.08.44:525,324,PL_Level1,0.0,0.0,0.0,62.510451,15.997325,6.321357,4.07358,10.085922,3.108587,,0.525492
2026.07.31-05.08.44:541,326,PL_Level1,0.0,0.0,0.0,62.515113,15.996132,6.939177,4.30872,9.601257,2.611481,,0.541488
