log_time,frame,PersistentLevel,X,Y,Z,FPS,FPSMs,GameThread,RenderThread,GPUFrame,RHIThreadTime,ActorName,ElapsedTime
2026.07.31-05.08.44:018,262,PL_Level1,0.0,0.0,0.0,55.457076,18.031964,7.376416,4.807435,9.759885,2.185007,,0.018032
2026.07.31-05.08.44:036,264,PL_Level1,0.0,0.0,0.0,53.540013,18.67762,7.757636,6.020009,9.520767,3.398301,,0.03671
2026.07.31-05.08.44:054,266,PL_Level1,0.0,0.0,0.0,56.325593,17.753919,6.745394,5.129279,9.023256,2.660602,,0.054464
2026.07.31-05.08.44:072,268,PL_Level1,0.0,0.0,0.0,56.710566,17.633398,6.59731,4.786655,10.355374,1.823078,,0.072097
2026.07.31-05.08.44:091,270,PL_Level1,0.0,0.0,0.0,52.472781,19.0575,7.284715,5.836688,9.590849,3.207406,,0.091154
2026.07.31-05.08.44:109,272,PL_Level1,0.0,0.0,0.0,53.54543,18.67573,6.826804,6.079958,11.715637,3.642694,,0.10983
2026.07.31-05.08.44:127,274,PL_Level1,0.0,0.0,0.0,55.789513,17.924516,7.840747,4.942546,9.380071,3.278664,,0.127755
2026.07.31-05.08.44:145,276,PL_Level1,0.0,0.0,0.0,55.222069,18.108702,6.850969,6.024385,10.701971,2.31284,,0.145863
2026.07.31-05.08.44:163,278,PL_Level1,0.0,0.0,0.0,55.769476,17.930956,7.282639,6.145844,10.16153,1.888713,,0.163794
2026.07.31-05.08.44:182,280,PL_Level1,0.0,0.0,0.0,54.61286,18.310706,7.858908,5.671548,10.371691,3.55292,,0.182105
2026.07.31-05.08.44:199,282,PL_Level1,0.0,0.0,0.0,57.308713,17.449354,7.474996,5.529609,8.912599,3.380049,,0.199554
2026.07.31-05.08.44:217,284,PL_Level1,0.0,0.0,0.0,57.252876,17.466372,6.878932,4.458424,10.836361,2.676574,,0.217021
2026.07.31-05.08.44:234,286,PL_Level1,0.0,0.0,0.0,56.281127,17.767946,7.064992,6.121981,11.264129,2.918061,,0.234789
2026.07.31-05.08.44:252,288,PL_Level1,0.0,0.0,0.0,57.968097,17.250868,7.753751,4.989787,8.653941,2.523112,,0.25204
2026.07.31-05.08.44:269,290,PL_Level1,0.0,0.0,0.0,57.072855,17.521464,7.314506,5.999175,9.230143,2.487637,,0.269561
2026.07.31-05.08.44:287,292,PL_Level1,0.0,0.0,0.0,55.176151,18.123772,7.819752,5.580269,11.519209,2.028863,,0.287685
2026.07.31-05.08.44:305,294,PL_Level1,0.0,0.0,0.0,57.1108,17.509823,7.708794,4.385543,10.198142,1.920395,,0.305195
2026.07.31-05.08.44:323,296,PL_Level1,0.0,0.0,0.0,55.210959,18.112346,7.765831,4.597895,9.463808,2.232767,,0.323307
2026.07.31-05.08.44:340,298,PL_Level1,0.0,0.0,0.0,58.057538,17.224292,6.347461,5.478046,9.136084,3.163484,,0.340531
2026.07.31-05.08.44:358,300,PL_Level1,0.0,0.0,0.0,56.754465,17.619759,7.157447,5.396347,10.554199,2.018929,,0.358151
2026.07.31-05.08.44:375,302,PL_Level1,0.0,0.0,0.0,56.640409,17.65524,6.359231,4.460654,10.747142,2.165766,,0.375806
2026.07.31-05.08.44:393,304,PL_Level1,0.0,0.0,0.0,55.983458,17.862419,7.418124,5.793604,10.537292,2.766199,,0.393669
2026.07.31-05.08.44:410,306,PL_Level1,0.0,0.0,0.0,58.924561,16.970852,7.561108,5.688876,10.911787,2.062181,,0.41064
2026.07.31-05.08.44:428,308,PL_Level1,0.0,0.0,0.0,56.943545,17.561253,7.04686,5.262085,10.082083,2.042737,,0.428201
2026.07.31-05.08.44:445,310,PL_Level1,0.0,0.0,0.0,56.616078,17.662827,6.946741,5.238366,9.626961,2.761258,,0.445864
2026.07.31-05.08.44:463,312,PL_Level1,0.0,0.0,0.0,56.812189,17.601857,6.22374,4.410098,10.060956,2.408098,,0.463465
2026.07.31-05.08.44:480,314,PL_Level1,0.0,0.0,0.0,58.219209,17.176461,7.660314,5.645301,9.5149,2.793166,,0.480642
2026.07.31-05.08.44:497,316,PL_Level1,0.0,0.0,0.0,58.047755,17.227195,6.206963,4.87653,9.193506,3.294193,,0.497869
2026.07.31-05.08.44:515,318,PL_Level1,0.0,0.0,0.0,58.19597,17.183321,6.08475,5.805838,8.71013,1.977788,,0.515052
2026.07.31-05.08.44:532,320,PL_Level1,0.0,0.0,0.0,58.298773,17.15302,6.425635,4.928166,9.482736,3.282117,,0.532205
2026.07.31-05.08.44:548,322,PL_Level1,0.0,0.0,0.0,60.939026,16.409845,5.85098,5.029745,9.95604,3.121957,,0.548615
2026.07.31-05.08.44:566,324,PL_Level1,0.0,0.0,0.0,57.189242,17.485806,6.915842,4.844166,8.791263,3.198307,,0.566101
2026.07.31-05.08.44:583,326,PL_Level1,0.0,0.0,0.0,57.10106,17.51281,7.033298,4.659438,9.910092,2.85684,,0.583614
2026.07.31-05.08.44:601,328,PL_Level1,0.0,0.0,0.0,56.717532,17.631233,6.722031,5.774066,10.518818,2.856518,,0.601245
2026.07.31-05.08.44:618,330,PL_Level1,0.0,0.0,0.0,58.929091,16.969547,6.025819,5.085078,10.038516,2.78167,,0.618215
2026.07.31-05.08.44:634,332,PL_Level1,0.0,0.0,0.0,59.763632,16.732584,6.043141,5.080829,10.315592,2.828636,,0.634947
2026.07.31-05.08.44:652,334,PL_Level1,0.0,0.0,0.0,57.962386,17.252568,6.701768,5.978732,10.723816,1.753693,,0.6522
2026.07.31-05.08.44:669,336,PL_Level1,0.0,0.0,0.0,56.934248,17.564121,6.253755,6.083474,10.657133,3.439217,,0.669764
2026.07.31-05.08.44:687,338,PL_Level1,0.0,0.0,0.0,57.01694,17.538647,7.363057,5.885342,9.039763,2.780935,,0.687303
2026.07.31-05.08.44:704,340,PL_Level1,0.0,0.0,0.0,59.286697,16.86719,6.252702,4.533242,9.635439,3.004832,,0.70417
2026.07.31-05.08.44:734,342,PL_Level1,0.0,0.0,0.0,32.694603,30.586088,11.62905,9.46417,18.061418,4.212566,,0.734756
2026.07.31-05.08.44:751,344,PL_Level1,0.0,0.0,0.0,59.233588,16.882313,6.574185,5.703094,9.063015,1.709161,,0.751638
2026.07.31-05.08.44:769,346,PL_Level1,0.0,0.0,0.0,57.471428,17.39995,6.814881,5.001553,8.811035,2.626931,,0.769038
2026.07.31-05.08.44:786,348,PL_Level1,0.0,0.0,0.0,58.866603,16.987561,5.948467,4.418645,9.063519,2.560348,,0.786026
2026.07.31-05.08.44:803,350,PL_Level1,0.0,0.0,0.0,58.739858,17.024215,6.149266,5.636655,9.673741,2.446362,,0.80305
